TAG_ref_ref,0
TAG_bool_true,1
TAG_bool_false,0
TAG_pointer_null,0
TAG_list_nil,1
TAG_list_cons,0
TAG_exn_Bind,~1
TAG_exn_Match,~2
TAG_exn_Subscript,~3
TAG_exn_Size,~4
TAG_exn_Overflow,~5
TAG_exn_Div,~6
TAG_exn_Domain,~7
TAG_exn_Fail,~8
TAG_exn_SysErr,~9
TAG_exn_MatchCompBug,~10
TAG_exn_Formatter,~11
TAG_exn_Bootstrap,~12
TAG_exn_MAX,0
TAG_option_NONE,0
TAG_option_SOME,1
OS_Process_success,0
OS_Process_failure,1
FFI_CC_DEFAULT,0
FFI_CC_CDECL,1
FFI_CC_STDCALL,2
MAJOR_CODE_SUCCESS,0
MAJOR_CODE_FAILURE,1
MAJOR_CODE_FATAL,2
MESSAGE_TYPE_INITIALIZATION_RESULT,0
MESSAGE_TYPE_EXIT_REQUEST,1
MESSAGE_TYPE_EXECUTION_REQUEST,2
MESSAGE_TYPE_EXECUTION_RESULT,3
MESSAGE_TYPE_OUTPUT_REQUEST,4
MESSAGE_TYPE_OUTPUT_RESULT,5
MESSAGE_TYPE_INPUT_REQUEST,6
MESSAGE_TYPE_INPUT_RESULT,7
MESSAGE_TYPE_CHANGE_DIRECTORY_REQUEST,8
